"","V3","n","hgnc_symbol"
"527","ENSG00000091656",1,"ZFHX4"
"528","ENSG00000091831",3,"ESR1"
"529","ENSG00000091879",12,"ANGPT2"
"530","ENSG00000091972",2,"CD200"
"531","ENSG00000092096",1,"SLC22A17"
"532","ENSG00000092098",1,"RNF31"
"533","ENSG00000092148",1,"HECTD1"
"534","ENSG00000092199",1,"HNRNPC"
"535","ENSG00000092208",1,"GEMIN2"
"536","ENSG00000092421",1,"SEMA6A"
"537","ENSG00000092439",4,"TRPM7"
"538","ENSG00000092820",8,"EZR"
"539","ENSG00000092847",1,"AGO1"
"540","ENSG00000092964",1,"DPYSL2"
"541","ENSG00000092969",12,"TGFB2"
"542","ENSG00000093072",2,"ADA2"
"543","ENSG00000094631",6,"HDAC6"
"544","ENSG00000094804",1,"CDC6"
"545","ENSG00000094880",1,"CDC23"
"546","ENSG00000094916",1,"CBX5"
"547","ENSG00000095002",13,"MSH2"
"548","ENSG00000095015",1,"MAP3K1"
"549","ENSG00000095059",1,"DHPS"
"550","ENSG00000095139",1,"ARCN1"
"551","ENSG00000095303",3,"PTGS1"
"552","ENSG00000095739",1,"BAMBI"
"553","ENSG00000095970",1,"TREM2"
"554","ENSG00000096060",2,"FKBP5"
"555","ENSG00000096063",3,"SRPK1"
"556","ENSG00000096092",1,"TMEM14A"
"557","ENSG00000096384",1,"HSP90AB1"
"558","ENSG00000096395",1,"MLN"
"559","ENSG00000096401",2,"CDC5L"
"560","ENSG00000096433",3,"ITPR3"
"561","ENSG00000096717",12,"SIRT1"
"562","ENSG00000096968",12,"JAK2"
"563","ENSG00000097007",6,"ABL1"
"564","ENSG00000099246",3,"RAB18"
"565","ENSG00000099250",14,"NRP1"
"566","ENSG00000099331",1,"MYO9B"
"567","ENSG00000099804",1,"CDC34"
"568","ENSG00000099810",2,"MTAP"
"569","ENSG00000099875",2,"MKNK2"
"570","ENSG00000099899",1,"TRMT2A"
"571","ENSG00000099942",1,"CRKL"
"572","ENSG00000099953",2,"MMP11"
"573","ENSG00000099956",7,"SMARCB1"
"574","ENSG00000099960",1,"SLC7A4"
"575","ENSG00000099968",1,"BCL2L13"
"576","ENSG00000099985",1,"OSM"
"577","ENSG00000100029",1,"PES1"
"578","ENSG00000100030",35,"MAPK1"
"579","ENSG00000100038",1,"TOP3B"
"580","ENSG00000100065",1,"CARD10"
"581","ENSG00000100077",1,"GRK3"
"582","ENSG00000100097",13,"LGALS1"
"583","ENSG00000100138",1,"SNU13"
"584","ENSG00000100146",8,"SOX10"
"585","ENSG00000100150",1,"DEPDC5"
"586","ENSG00000100151",1,"PICK1"
"587","ENSG00000100201",1,"DDX17"
"588","ENSG00000100211",1,"CBY1"
"589","ENSG00000100216",1,"TOMM22"
"590","ENSG00000100219",2,"XBP1"
"591","ENSG00000100234",5,"TIMP3"
"592","ENSG00000100242",1,"SUN2"
"593","ENSG00000100276",3,"RASL10A"
"594","ENSG00000100292",7,"HMOX1"
"595","ENSG00000100300",10,"TSPO"
"596","ENSG00000100307",4,"CBX7"
"597","ENSG00000100311",18,"PDGFB"
"598","ENSG00000100335",1,"MIEF1"
"599","ENSG00000100353",1,"EIF3D"
"600","ENSG00000100354",1,"TNRC6B"
"601","ENSG00000100359",1,"SGSM3"
"602","ENSG00000100365",1,"NCF4"
"603","ENSG00000100387",4,"RBX1"
"604","ENSG00000100393",5,"EP300"
"605","ENSG00000100410",1,"PHF5A"
"606","ENSG00000100427",3,"MLC1"
"607","ENSG00000100448",1,"CTSG"
"608","ENSG00000100462",8,"PRMT5"
"609","ENSG00000100505",1,"TRIM9"
"610","ENSG00000100526",1,"CDKN3"
"611","ENSG00000100592",2,"DAAM1"
"612","ENSG00000100603",1,"SNW1"
"613","ENSG00000100632",2,"ERH"
"614","ENSG00000100644",74,"HIF1A"
"615","ENSG00000100647",1,"SUSD6"
