"","V3","n","hgnc_symbol"
"547","ENSG00000076641",2,"PAG1"
"548","ENSG00000076685",1,"NT5C2"
"549","ENSG00000076706",6,"MCAM"
"550","ENSG00000076826",1,"CAMSAP3"
"551","ENSG00000076928",1,"ARHGEF1"
"552","ENSG00000076944",1,"STXBP2"
"553","ENSG00000077092",14,"RARB"
"554","ENSG00000077097",2,"TOP2B"
"555","ENSG00000077150",5,"NFKB2"
"556","ENSG00000077152",1,"UBE2T"
"557","ENSG00000077235",1,"GTF3C1"
"558","ENSG00000077254",1,"USP33"
"559","ENSG00000077264",1,"PAK3"
"560","ENSG00000077312",1,"SNRPA"
"561","ENSG00000077454",1,"LRCH4"
"562","ENSG00000077463",3,"SIRT6"
"563","ENSG00000077498",2,"TYR"
"564","ENSG00000077522",2,"ACTN2"
"565","ENSG00000077549",1,"CAPZB"
"566","ENSG00000077585",1,"GPR137B"
"567","ENSG00000077616",1,"NAALAD2"
"568","ENSG00000077782",9,"FGFR1"
"569","ENSG00000077942",1,"FBLN1"
"570","ENSG00000078018",1,"MAP2"
"571","ENSG00000078043",2,"PIAS2"
"572","ENSG00000078070",1,"MCCC1"
"573","ENSG00000078098",2,"FAP"
"574","ENSG00000078114",1,"NEBL"
"575","ENSG00000078140",1,"UBE2K"
"576","ENSG00000078142",1,"PIK3C3"
"577","ENSG00000078237",2,"TIGAR"
"578","ENSG00000078246",1,"TULP3"
"579","ENSG00000078269",2,"SYNJ2"
"580","ENSG00000078369",1,"GNB1"
"581","ENSG00000078401",8,"EDN1"
"582","ENSG00000078549",2,"ADCYAP1R1"
"583","ENSG00000078674",1,"PCM1"
"584","ENSG00000078687",1,"TNRC6C"
"585","ENSG00000078699",1,"CBFA2T2"
"586","ENSG00000078747",3,"ITCH"
"587","ENSG00000078808",2,"SDF4"
"588","ENSG00000078898",1,"BPIFB2"
"589","ENSG00000078900",4,"TP73"
"590","ENSG00000078902",1,"TOLLIP"
"591","ENSG00000079134",1,"THOC1"
"592","ENSG00000079246",7,"XRCC5"
"593","ENSG00000079257",1,"LXN"
"594","ENSG00000079277",2,"MKNK1"
"595","ENSG00000079308",1,"TNS1"
"596","ENSG00000079337",4,"RAPGEF3"
"597","ENSG00000079385",4,"CEACAM1"
"598","ENSG00000079387",11,"SENP1"
"599","ENSG00000079432",1,"CIC"
"600","ENSG00000079459",2,"FDFT1"
"601","ENSG00000079482",1,"OPHN1"
"602","ENSG00000079557",2,"AFM"
"603","ENSG00000079691",1,"CARMIL1"
"604","ENSG00000079739",1,"PGM1"
"605","ENSG00000079785",1,"DDX1"
"606","ENSG00000079805",2,"DNM2"
"607","ENSG00000079819",1,"EPB41L2"
"608","ENSG00000079841",1,"RIMS1"
