"Entity1_id","numChemical","Ensembl.Id","Symbol"
"PA162387677",2,"ENSG00000111913","RIPOR2"
"PA162391083",2,"ENSG00000108753","HNF1B"
"PA162396840",2,"ENSG00000102452","NALCN"
"PA162398721",2,"ENSG00000116117","PARD3B"
"PA162399233",2,"ENSG00000187800","PEAR1"
"PA162402461",2,"ENSG00000114650","SCAP"
"PA162405070",2,"ENSG00000198075","SULT1C4"
"PA164717628",2,"ENSG00000204397","CARD16"
"PA164719488",2,"ENSG00000188107","EYS"
"PA164741534",2,"ENSG00000094963","FMO2"
"PA165750325",2,"ENSG00000162433","AK4"
"PA190",2,"ENSG00000150540","HNMT"
"PA194",2,"ENSG00000147246","HTR2C"
"PA195",2,"ENSG00000109471","IL2"
"PA205",2,"ENSG00000056345,ENSG00000259753","ITGB3"
"PA228",2,"ENSG00000174697","LEP"
"PA230",2,"ENSG00000166035","LIPC"
"PA232",2,"ENSG00000175445","LPL"
"PA235",2,"ENSG00000213316","LTC4S"
"PA24415",2,"","ABO"
"PA24536",2,"ENSG00000154734","ADAMTS1"
"PA24561",2,"ENSG00000078295","ADCY2"
"PA24571",2,"ENSG00000196616","ADH1B"
"PA24577",2,"ENSG00000196344","ADH7"
"PA24579",2,"ENSG00000156110","ADK"
"PA24584",2,"ENSG00000100014,ENSG00000128271","ADORA2A"
"PA24598",2,"ENSG00000188778","ADRB3"
"PA24641",2,"ENSG00000106546","AHR"
"PA24656",2,"ENSG00000004455","AK2"
"PA24682",2,"ENSG00000053371","AKR7A2"
"PA24702",2,"ENSG00000112294","ALDH5A1"
"PA24757",2,"ENSG00000242110","AMACR"
"PA24776",2,"ENSG00000116748","AMPD1"
"PA24947",2,"ENSG00000118520","ARG1"
"PA25094",2,"ENSG00000138363","ATIC"
"PA25097",2,"ENSG00000206190","ATP10A"
"PA25107",2,"ENSG00000070961","ATP2B1"
"PA25224",2,"ENSG00000117411","B4GALT2"
"PA25305",2,"ENSG00000153094","BCL2L11"
"PA25442",2,"ENSG00000174808","BTC"
"PA256",2,"ENSG00000175206","NPPA"
"PA25814",2,"ENSG00000185917","SETD4"
"PA25942",2,"ENSG00000175600","SUGCT"
